"","rule","lang","lines","characters"
"rule_01","01","eStatistik",1,37
"rule_011","01","VTL",3,66
"rule_012","01","validate",1,38
"rule_02","02","eStatistik",1,25
"rule_021","02","VTL",2,80
"rule_022","02","validate",1,25
"rule_03","03","eStatistik",8,252
"rule_031","03","VTL",3,207
"rule_032","03","validate",2,57
"rule_04","04","eStatistik",5,190
"rule_041","04","VTL",2,162
"rule_042","04","validate",2,94
"rule_05","05","eStatistik",7,155
"rule_051","05","VTL",6,339
"rule_052","05","validate",2,65
"rule_06","06","eStatistik",1,73
"rule_061","06","VTL",5,318
"rule_062","06","validate",2,78
"rule_07","07","eStatistik",18,598
"rule_071","07","VTL",6,442
"rule_072","07","validate",3,151
"rule_08","08","eStatistik",7,166
"rule_081","08","VTL",3,163
"rule_082","08","validate",1,29
"rule_09","09","eStatistik",16,360
"rule_091","09","VTL",4,232
"rule_092","09","validate",1,27
"rule_10","10","eStatistik",9,225
"rule_101","10","VTL",3,202
"rule_102","10","validate",1,42
"rule_11","11","eStatistik",16,417
"rule_111","11","VTL",3,201
"rule_112","11","validate",1,47
"rule_12","12","eStatistik",14,371
"rule_121","12","VTL",9,433
"rule_122","12","validate",3,122
"rule_13","13","eStatistik",9,237
"rule_131","13","VTL",8,375
"rule_132","13","validate",2,46
"rule_14","14","eStatistik",15,1084
"rule_141","14","VTL",14,512
"rule_142","14","validate",4,141
"rule_15","15","eStatistik",8,194
"rule_151","15","VTL",4,284
"rule_152","15","validate",1,15
"rule_16","16","eStatistik",22,739
"rule_161","16","VTL",15,593
"rule_162","16","validate",5,202
"rule_17","17","eStatistik",9,237
"rule_171","17","VTL",5,393
"rule_172","17","validate",2,80
"rule_18","18","eStatistik",8,217
"rule_181","18","VTL",10,601
"rule_182","18","validate",2,124
